petal_length,petal_width,sepal_length,sepal_width,species
5.6,1.8,6.0,3.1,borealis
1.7,0.2,5.1,3.3,rosetta
5.1,1.9,7.2,2.8,borealis
6.7,2.2,7.2,2.8,borealis
3.8,1.2,5.6,2.8,valentia
5.5,2.4,6.6,3.1,borealis
1.7,0.3,5.2,3.2,rosetta
4.6,2.3,6.3,3.1,borealis
5.6,1.9,6.7,2.8,borealis
5.6,1.9,6.8,3.4,borealis
1.9,0.3,5.3,3.1,rosetta
4.9,1.5,5.3,3.3,valentia
1.4,0.3,4.7,4.1,rosetta
1.2,0.2,5.2,3.6,rosetta
1.3,0.2,5.3,3.3,rosetta
5.5,1.9,6.9,2.8,borealis
4.2,1.1,6.5,2.9,valentia
4.8,1.9,7.4,3.1,borealis
1.5,0.3,5.6,3.7,rosetta
1.4,0.2,5.0,2.7,rosetta
6.2,1.9,6.0,3.1,borealis
5.3,2.0,7.0,2.8,borealis
1.6,0.3,5.0,3.5,rosetta
1.8,0.3,4.1,3.8,rosetta
5.4,2.5,7.9,2.9,borealis
4.2,1.5,6.0,3.0,valentia
1.3,0.1,4.8,3.4,rosetta
1.8,0.3,5.7,3.5,rosetta
3.3,1.4,6.7,3.0,valentia
4.0,1.2,5.1,2.8,valentia
4.4,1.3,6.4,2.8,valentia
1.3,0.3,5.1,2.9,rosetta
3.3,1.5,5.3,3.0,valentia
1.4,0.2,4.9,3.5,rosetta
6.9,2.2,6.5,3.1,borealis
3.8,1.2,5.6,2.9,valentia
4.4,1.8,6.8,3.3,borealis
5.4,2.0,6.4,3.0,borealis
5.8,1.8,7.9,3.7,borealis
5.7,2.0,7.0,3.6,borealis
5.8,2.3,6.4,3.0,borealis
1.7,0.2,5.1,3.1,rosetta
5.1,2.0,7.0,2.8,borealis
1.7,0.3,4.6,3.3,rosetta
1.4,0.2,5.0,3.6,rosetta
4.6,1.4,6.2,2.7,valentia
4.6,1.1,6.2,2.5,valentia
1.3,0.2,4.7,3.0,rosetta
6.6,1.7,7.4,3.0,borealis
5.8,2.5,7.0,3.2,borealis
5.4,1.9,6.6,3.0,borealis
1.6,0.4,5.1,3.0,rosetta
1.3,0.3,5.6,3.4,rosetta
5.7,2.4,7.7,3.6,borealis
4.6,1.4,5.8,2.9,valentia
4.3,1.0,6.1,3.2,valentia
1.3,0.3,4.9,4.1,rosetta
5.5,1.8,6.7,3.0,borealis
4.7,1.5,5.1,2.8,valentia
5.7,2.2,6.6,3.5,borealis
4.1,1.2,5.5,2.8,valentia
6.0,1.8,5.9,2.8,borealis
1.9,0.3,4.5,3.8,rosetta
5.2,1.9,6.8,3.2,borealis
5.6,2.1,6.5,3.1,borealis
1.7,0.2,4.7,2.8,rosetta
1.7,0.2,5.2,2.9,rosetta
4.9,1.8,7.2,2.2,borealis
1.7,0.2,4.4,3.4,rosetta
1.5,0.3,5.6,3.4,rosetta
5.3,1.7,7.2,2.9,borealis
4.2,2.0,6.8,3.1,borealis
4.2,1.4,5.1,2.7,valentia
1.5,0.1,5.2,4.0,rosetta
3.3,1.4,5.8,3.0,valentia
5.8,2.1,6.2,3.0,borealis
4.4,0.8,5.7,2.9,valentia
4.8,1.1,6.3,2.8,valentia
1.2,0.1,3.8,2.8,rosetta
5.0,2.0,6.6,3.1,borealis
5.0,0.9,6.9,2.3,valentia
1.5,0.1,5.4,3.8,rosetta
1.6,0.3,4.2,3.3,rosetta
4.4,1.5,5.6,3.2,valentia
5.4,1.9,6.7,2.9,borealis
5.4,2.1,6.9,2.8,borealis
5.1,1.9,6.7,2.4,borealis
3.7,1.5,5.1,2.7,valentia
1.4,0.4,4.8,3.1,rosetta
4.5,2.3,6.2,2.7,borealis
1.5,0.2,5.5,4.0,rosetta
2.7,1.3,5.8,2.6,valentia
4.8,1.5,4.9,2.7,valentia
3.4,1.2,6.0,3.0,valentia
4.9,1.1,6.4,2.6,valentia
1.6,0.4,5.5,3.8,rosetta
4.8,1.4,5.9,3.1,valentia
1.5,0.3,5.5,3.2,rosetta
1.5,0.3,5.3,3.5,rosetta
5.1,2.2,6.5,2.9,borealis
1.4,0.2,5.3,3.2,rosetta
1.1,0.2,5.1,3.2,rosetta
5.9,2.0,6.7,2.8,borealis
4.7,1.1,6.1,2.8,valentia
5.5,2.3,5.9,2.9,borealis
1.1,0.4,4.7,4.2,rosetta
3.9,0.8,6.0,3.0,valentia
1.6,0.2,5.1,4.1,rosetta
4.6,1.9,5.9,3.0,valentia
1.3,0.3,4.9,3.5,rosetta
4.1,1.5,6.1,2.7,valentia
4.9,1.2,6.2,2.9,valentia
4.6,1.2,5.5,2.7,valentia
1.7,0.3,4.8,3.7,rosetta
1.2,0.3,5.1,3.2,rosetta
4.2,1.7,6.1,2.7,valentia
4.9,1.0,5.5,3.3,valentia
