area_m2,bedrooms,age_years,distance_km,price_k
94.4,5,27,21.6,142.1
170.4,4,44,24.6,251.7
87.4,2,6,20.5,141.0
141.4,2,55,23.0,187.9
61.5,2,11,20.4,91.3
75.0,3,27,3.9,183.8
175.7,2,55,23.5,239.4
40.9,1,33,24.1,45.8
147.2,2,24,9.4,260.1
96.2,5,38,13.5,180.5
180.6,3,10,16.0,384.0
122.5,3,19,17.2,245.6
111.5,5,36,12.9,219.6
101.3,5,5,3.6,264.9
51.8,4,27,18.7,87.1
57.4,3,14,7.0,163.4
50.0,4,53,12.5,62.4
126.0,5,14,11.0,289.5
121.6,4,17,3.8,311.0
138.5,1,27,6.5,246.5
53.5,3,19,13.1,79.6
45.7,4,54,23.8,20.0
77.9,3,48,22.7,72.8
79.8,5,8,10.6,193.7
164.2,1,25,22.6,253.0
101.1,4,22,22.3,159.0
118.6,5,5,9.1,285.6
155.3,4,29,7.0,339.9
104.1,2,12,20.9,131.7
172.0,1,29,22.1,269.2
114.8,1,52,23.5,107.2
219.3,5,53,22.2,351.7
88.9,4,2,8.1,216.7
213.7,4,14,6.2,472.3
172.2,5,56,12.9,288.2
182.1,1,27,18.9,286.3
119.8,5,5,2.2,286.9
124.4,1,49,15.3,192.6
201.8,3,25,16.7,374.2
84.0,3,19,17.5,139.8
106.4,1,20,16.1,124.7
121.0,1,48,2.4,247.2
82.6,4,48,0.9,181.4
140.6,3,31,3.5,277.6
74.8,3,47,8.8,143.5
180.9,3,23,17.1,306.0
198.1,4,60,1.6,404.6
137.2,4,48,15.5,246.5
38.0,1,59,4.4,35.2
172.3,4,24,16.5,339.0
200.4,5,3,10.5,445.0
161.0,3,6,18.7,303.2
129.2,5,49,22.8,180.8
65.7,2,19,15.3,94.4
209.1,1,41,22.7,323.4
93.3,5,44,6.7,189.0
106.4,5,29,23.7,186.7
127.8,4,36,24.2,198.5
104.5,1,58,10.8,177.4
154.2,4,1,1.4,385.5
202.1,4,32,10.2,407.7
71.4,2,48,24.1,45.2
107.2,1,59,9.0,190.5
122.0,1,33,3.0,238.0
99.0,4,5,22.3,174.1
44.8,2,52,0.8,84.7
141.7,5,9,0.9,309.1
66.0,3,28,14.4,115.2
96.0,2,55,24.2,101.1
64.9,2,16,20.3,58.3
95.7,5,14,4.4,246.7
182.1,3,60,22.5,266.9
185.3,4,12,15.5,327.2
191.8,4,6,12.6,378.3
98.4,2,42,12.2,133.7
85.4,2,16,15.0,147.5
53.8,4,51,12.3,120.5
69.5,5,0,16.8,137.1
149.2,1,37,12.1,259.1
143.1,3,9,13.2,279.5
209.3,3,16,15.8,379.5
101.2,1,3,23.9,139.3
145.5,4,18,15.6,266.7
56.7,4,47,4.4,107.9
144.6,3,33,6.6,299.8
98.4,4,10,8.4,210.8
65.0,2,45,0.6,174.2
179.1,5,47,22.1,307.5
177.5,3,56,10.1,342.9
92.7,5,9,11.1,217.7
156.0,4,58,21.4,205.4
51.2,2,7,18.3,75.1
216.4,3,46,12.3,401.7
174.2,2,46,4.2,361.2
161.5,2,23,12.3,300.9
143.6,5,6,5.3,349.1
134.9,1,5,21.9,217.9
107.0,4,39,24.7,119.0
207.4,5,51,8.0,419.9
183.6,5,14,7.1,372.2
126.8,5,29,10.9,232.9
140.2,3,45,5.5,288.6
134.4,1,24,22.4,186.1
209.1,2,16,11.2,446.1
86.2,2,26,1.7,203.0
165.7,5,10,1.9,413.7
195.1,2,32,6.8,363.1
67.3,4,5,20.6,111.7
188.5,1,46,18.9,311.6
216.4,3,47,18.6,372.6
182.2,3,57,21.8,248.2
83.1,2,38,9.6,113.7
133.4,1,47,7.0,238.3
36.2,4,5,19.6,75.5
195.5,3,17,7.6,408.3
141.6,4,28,2.8,321.9
172.5,2,4,9.9,343.8
81.3,4,51,11.8,145.5
81.2,3,3,2.5,183.3
98.1,2,25,11.5,139.6
129.5,2,22,20.1,211.7
64.2,4,58,16.4,74.1
61.0,3,5,19.3,94.6
176.7,5,32,4.0,392.3
134.9,5,37,2.7,308.3
113.3,2,22,10.2,188.9
158.0,1,49,2.0,267.6
204.7,4,2,14.1,410.7
129.6,3,13,4.6,295.4
175.0,1,55,15.7,263.7
93.4,4,39,2.5,217.4
76.9,3,17,22.8,65.2
138.9,5,55,6.6,287.4
170.4,1,2,16.3,298.1
136.7,3,24,13.9,252.2
114.0,1,23,1.4,235.3
203.9,1,7,1.2,436.8
112.0,1,27,16.1,131.3
145.1,1,6,19.2,244.1
