months_active,monthly_hours,support_tickets,plan,cancelled
38,58.9,0,plus,no
42,13.7,0,pro,no
37,13.5,2,pro,no
14,38.5,4,pro,no
7,45.3,3,basic,yes
2,33.9,0,basic,yes
12,30.8,1,basic,yes
3,13.8,4,plus,yes
48,59.5,1,pro,no
34,12.3,3,pro,no
11,28.7,1,plus,no
6,49.7,1,pro,no
25,46.1,1,basic,no
37,24.4,6,pro,no
27,2.8,0,basic,yes
6,49.1,0,pro,no
42,32.7,9,basic,yes
6,17.0,2,pro,yes
35,26.1,0,plus,no
15,10.4,2,pro,yes
7,2.9,0,plus,yes
26,55.2,2,basic,no
2,52.7,0,plus,no
23,54.5,1,plus,no
8,14.4,0,basic,yes
28,0.8,1,plus,no
48,9.2,1,basic,no
41,36.3,3,plus,no
42,18.9,3,plus,yes
17,1.3,3,plus,yes
35,10.7,0,pro,no
19,36.6,4,basic,no
46,26.7,0,basic,no
3,55.8,2,pro,no
43,23.5,3,plus,no
20,49.4,8,pro,yes
42,39.7,1,plus,no
14,38.0,1,basic,no
28,29.0,2,basic,no
8,50.5,2,basic,yes
16,46.1,0,plus,no
26,27.2,2,basic,yes
43,14.9,2,plus,no
29,36.1,2,pro,no
24,20.0,2,basic,yes
17,33.3,2,plus,yes
15,7.2,5,plus,yes
8,18.9,0,basic,yes
22,0.9,1,plus,no
11,12.2,0,basic,yes
24,7.9,0,pro,no
6,29.6,2,plus,yes
27,48.1,2,plus,no
46,56.3,2,basic,no
8,3.4,0,plus,yes
38,34.6,1,basic,no
8,43.6,1,plus,no
30,49.1,0,pro,no
48,54.7,1,basic,no
32,33.8,2,plus,no
12,57.8,2,basic,no
19,19.6,1,basic,no
47,6.9,3,plus,no
22,11.1,0,basic,yes
21,47.7,4,plus,yes
33,42.4,0,basic,no
10,22.7,0,basic,yes
31,25.1,4,basic,yes
40,57.0,1,plus,no
2,58.6,0,basic,no
33,47.2,0,basic,no
43,,1,basic,no
10,48.6,1,pro,no
2,15.3,1,pro,yes
31,20.3,1,basic,yes
46,33.4,1,basic,no
32,34.9,1,basic,no
24,47.3,0,plus,no
11,45.5,1,pro,no
48,54.9,2,plus,no
24,38.7,6,plus,yes
2,25.1,6,basic,yes
20,,2,basic,yes
48,51.9,8,basic,no
4,44.1,0,plus,no
46,3.9,3,pro,yes
24,20.4,4,pro,no
42,42.3,8,plus,no
27,52.4,0,plus,no
8,42.4,2,basic,yes
5,43.9,2,plus,yes
21,31.7,4,plus,no
47,14.5,1,basic,no
5,56.0,3,basic,yes
3,53.1,0,basic,no
31,10.3,0,basic,yes
28,20.6,7,pro,yes
22,10.4,4,basic,yes
4,49.4,2,plus,no
3,46.3,1,pro,no
27,44.7,1,basic,no
47,4.4,2,pro,no
36,59.7,0,basic,no
5,30.6,0,basic,yes
34,34.2,3,basic,no
27,35.9,0,basic,no
27,28.2,4,basic,yes
9,37.7,1,basic,yes
3,4.0,5,basic,yes
16,38.6,3,basic,no
22,33.7,2,plus,yes
15,20.0,3,basic,yes
17,40.4,0,plus,no
5,8.3,0,basic,yes
28,11.4,2,plus,yes
42,45.9,0,plus,no
40,12.1,0,plus,no
38,23.9,1,pro,no
14,13.9,1,plus,yes
13,18.6,0,basic,yes
7,27.9,0,plus,no
38,,0,pro,no
43,11.7,2,plus,no
47,59.6,0,basic,no
46,33.0,4,basic,no
9,12.2,1,basic,yes
30,19.6,6,basic,yes
46,48.5,0,basic,no
16,41.6,2,plus,yes
35,5.2,2,plus,yes
21,11.8,2,basic,yes
26,21.7,0,basic,no
9,35.4,6,plus,yes
29,1.9,2,plus,yes
14,39.6,2,pro,no
4,17.4,5,plus,yes
43,,1,basic,yes
38,7.6,0,pro,no
10,58.8,0,plus,no
23,23.8,2,basic,yes
46,,4,pro,no
6,43.9,0,basic,no
23,10.4,0,basic,no
34,44.7,3,plus,no
26,46.3,1,plus,no
42,18.9,5,pro,no
18,18.7,0,plus,yes
12,37.5,3,plus,no
32,58.9,5,plus,no
2,44.1,1,plus,no
27,21.3,1,pro,no
21,40.8,0,basic,no
29,15.0,1,pro,no
40,6.2,0,basic,no
11,8.7,4,basic,yes
28,33.5,0,plus,no
22,36.2,7,basic,yes
15,16.9,5,pro,yes
41,52.0,5,plus,no
8,1.2,0,plus,yes
15,56.2,0,pro,no
48,,0,pro,no
8,12.9,2,basic,yes
26,25.8,0,basic,no
22,27.7,0,plus,no
23,17.0,3,plus,yes
31,30.8,5,basic,yes
27,7.1,2,basic,yes
15,55.1,0,pro,no
8,45.0,0,plus,no
47,27.5,2,pro,no
19,48.5,10,basic,yes
39,57.4,0,basic,no
36,37.6,2,basic,no
35,33.6,0,basic,no
35,52.7,0,basic,no
17,47.7,2,pro,no
4,56.4,5,basic,yes
9,47.3,4,basic,yes
45,47.6,4,plus,no
18,41.2,5,basic,yes
30,47.5,0,plus,no
32,38.8,2,plus,yes
27,18.1,1,plus,no
13,20.3,3,plus,yes
45,28.7,8,pro,no
43,18.6,1,plus,no
10,36.0,1,plus,no
33,50.4,1,plus,no
24,30.3,0,basic,no
27,53.3,1,plus,no
11,37.6,0,plus,no
34,54.7,8,plus,no
42,9.7,0,plus,no
40,10.5,1,plus,no
30,22.3,6,plus,yes
2,49.8,3,basic,yes
43,48.8,0,pro,no
41,48.3,4,plus,no
4,48.6,1,pro,yes
12,35.4,4,basic,yes
41,30.0,1,plus,no
40,46.5,0,basic,no
19,53.0,2,basic,no
16,39.6,0,plus,no
22,,0,pro,no
27,53.0,1,basic,no
26,,4,basic,yes
28,2.9,0,basic,yes
31,55.0,9,basic,yes
11,41.8,0,basic,no
28,55.5,3,plus,no
34,25.7,4,plus,no
25,21.7,0,basic,no
24,5.8,0,pro,no
33,59.8,1,basic,no
34,59.1,1,plus,no
30,11.9,0,plus,no
48,8.0,3,basic,no
13,22.4,1,plus,yes
5,27.6,3,pro,yes
24,20.7,0,plus,no
45,12.5,4,pro,no
17,11.2,0,plus,no
28,29.9,2,basic,yes
7,3.5,3,pro,yes
17,55.9,0,plus,no
30,55.3,0,basic,no
48,24.7,4,basic,no
31,32.5,0,basic,no
13,,4,basic,yes
18,6.6,8,basic,yes
46,52.2,2,plus,no
9,30.1,0,plus,no
1,9.1,5,basic,yes
39,8.1,1,plus,no
20,34.0,0,plus,no
1,34.0,1,pro,yes
26,29.0,5,pro,yes
41,18.9,3,plus,no
20,32.0,0,plus,no
3,58.5,2,plus,no
28,40.1,4,plus,no
42,38.3,3,plus,no
7,13.7,2,pro,yes
46,37.1,0,pro,no
43,49.9,2,pro,no
2,11.6,4,basic,yes
44,37.5,0,basic,no
44,42.2,0,pro,no
8,51.0,1,plus,no
20,44.8,0,plus,no
19,31.6,4,basic,yes
31,54.9,0,plus,no
5,43.9,0,basic,yes
24,38.7,2,pro,no
38,46.6,0,plus,no
45,,2,basic,no
35,21.7,4,plus,yes
32,26.7,6,basic,yes
22,7.7,0,plus,yes
12,22.7,1,pro,no
17,35.1,1,basic,yes
7,30.2,2,plus,yes
2,40.6,3,basic,yes
35,59.1,0,basic,no
8,4.7,2,plus,yes
8,15.7,2,plus,yes
41,0.9,0,plus,no
23,3.3,0,plus,no
46,48.6,0,basic,no
41,5.7,9,pro,yes
26,6.4,7,basic,yes
31,31.7,2,basic,no
36,8.4,1,basic,no
34,18.6,1,basic,no
4,52.6,2,basic,yes
15,,7,basic,yes
5,23.3,0,basic,yes
29,44.7,1,basic,no
19,52.8,5,basic,yes
42,47.0,0,plus,no
23,52.4,0,plus,no
36,7.6,1,plus,no
15,1.1,0,plus,yes
38,24.2,3,plus,no
38,53.4,4,basic,no
33,53.3,1,basic,no
23,9.1,1,plus,no
41,10.4,1,pro,no
7,49.6,2,pro,no
24,57.2,2,plus,no
15,,0,basic,yes
1,34.5,0,basic,yes
29,43.8,0,plus,no
47,45.4,1,pro,no
2,,4,basic,yes
21,37.4,0,plus,no
46,10.5,0,basic,no
21,37.4,1,pro,no
6,50.2,0,plus,no
40,8.6,0,plus,no
29,57.1,0,plus,no
22,39.4,1,plus,no
6,38.3,0,basic,yes
14,9.0,0,basic,yes
1,40.7,3,plus,yes
32,1.5,4,basic,no
32,18.2,8,pro,yes
46,52.3,1,basic,no
31,28.4,1,plus,no
48,43.2,3,plus,no
2,54.5,0,basic,yes
40,17.0,0,basic,no
43,45.7,1,basic,no
45,29.8,0,plus,no
6,56.1,0,pro,no
28,40.1,1,basic,no
47,30.3,0,basic,no
27,20.5,0,pro,no
35,55.5,1,plus,no
4,22.5,0,pro,no
26,14.7,1,basic,yes
47,59.9,0,basic,no
5,5.0,4,plus,yes
13,34.4,4,plus,no
46,48.5,4,basic,no
41,15.9,6,basic,yes
31,47.5,1,pro,no
25,16.2,1,plus,yes
6,57.7,1,basic,no
28,45.8,1,plus,no
40,8.5,5,plus,yes
19,59.1,3,plus,no
26,,0,plus,no
8,34.8,10,plus,yes
34,8.0,0,plus,no
43,48.5,0,plus,no
44,39.1,0,plus,no
4,59.1,4,plus,no
10,51.7,0,basic,no
44,15.3,2,basic,no
20,7.4,0,pro,yes
1,20.5,2,basic,yes
36,29.0,1,pro,no
47,51.9,5,basic,no
16,54.3,0,plus,no
36,5.5,3,basic,yes
20,2.2,4,basic,yes
44,11.2,2,basic,yes
17,20.7,0,basic,yes
12,12.2,2,pro,yes
16,40.6,2,basic,yes
45,55.1,0,plus,no
37,26.0,0,basic,no
39,48.0,3,plus,no
22,37.0,1,basic,no
40,14.2,0,pro,no
29,38.6,0,basic,no
